* Measurement data measured by REW V5.31.3
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 18, 2025, 8:25:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: IR window: 0ms left, 2ms right
* Measurement: Piega
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 1000.1221 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1083.251960, 51.451, 79.8020
1083.618171, 51.427, 79.8069
1083.984382, 51.403, 79.8127
1084.350593, 51.378, 79.8192
1084.716804, 51.354, 79.8263
1085.083015, 51.329, 79.8339
1085.449226, 51.304, 79.8424
1085.815437, 51.279, 79.8514
1086.181648, 51.254, 79.8616
1086.547859, 51.229, 79.8723
1086.914070, 51.204, 79.8836
1087.280281, 51.178, 79.8957
1087.646491, 51.153, 79.9087
1088.012702, 51.127, 79.9224
1088.378913, 51.101, 79.9366
1088.745124, 51.075, 79.9519
1089.111335, 51.049, 79.9679
1089.477546, 51.023, 79.9845
1089.843757, 50.997, 80.0024
1090.209968, 50.970, 80.0209
1090.576179, 50.943, 80.0400
1090.942390, 50.917, 80.0601
1091.308601, 50.890, 80.0811
1091.674812, 50.863, 80.1029
1092.041023, 50.835, 80.1255
1092.407234, 50.808, 80.1490
1092.773445, 50.780, 80.1735
1093.139656, 50.753, 80.1987
1093.505867, 50.725, 80.2253
1093.872078, 50.697, 80.2521
1094.238289, 50.669, 80.2799
1094.604500, 50.641, 80.3093
1094.970711, 50.613, 80.3391
1095.336922, 50.584, 80.3701
1095.703133, 50.555, 80.4021
1096.069344, 50.527, 80.4350
1096.435555, 50.498, 80.4688
1096.801766, 50.469, 80.5038
1097.167977, 50.439, 80.5395
1097.534188, 50.410, 80.5762
1097.900399, 50.381, 80.6142
1098.266610, 50.351, 80.6536
1098.632821, 50.321, 80.6936
1098.999031, 50.291, 80.7347
1099.365242, 50.261, 80.7769
1099.731453, 50.231, 80.8206
1100.097664, 50.200, 80.8647
1100.463875, 50.170, 80.9106
1100.830086, 50.139, 80.9575
1101.196297, 50.108, 81.0052
1101.562508, 50.077, 81.0547
1101.928719, 50.046, 81.1050
1102.294930, 50.015, 81.1564
1102.661141, 49.983, 81.2094
1103.027352, 49.952, 81.2634
1103.393563, 49.920, 81.3185
1103.759774, 49.888, 81.3751
1104.125985, 49.856, 81.4329
1104.492196, 49.824, 81.4922
1104.858407, 49.791, 81.5528
1105.224618, 49.759, 81.6145
1105.590829, 49.726, 81.6778
1105.957040, 49.693, 81.7422
1106.323251, 49.660, 81.8082
1106.689462, 49.627, 81.8754
1107.055673, 49.594, 81.9443
1107.421884, 49.561, 82.0145
1107.788095, 49.527, 82.0861
1108.154306, 49.493, 82.1593
1108.520517, 49.459, 82.2340
1108.886728, 49.425, 82.3102
1109.252939, 49.391, 82.3878
1109.619150, 49.357, 82.4672
1109.985361, 49.322, 82.5480
1110.351571, 49.287, 82.6306
1110.717782, 49.252, 82.7146
1111.083993, 49.217, 82.8004
1111.450204, 49.182, 82.8878
1111.816415, 49.147, 82.9766
1112.182626, 49.111, 83.0678
1112.548837, 49.076, 83.1600
1112.915048, 49.040, 83.2540
1113.281259, 49.004, 83.3504
1113.647470, 48.968, 83.4481
1114.013681, 48.932, 83.5479
1114.379892, 48.895, 83.6494
1114.746103, 48.859, 83.7526
1115.112314, 48.822, 83.8581
1115.478525, 48.785, 83.9654
1115.844736, 48.748, 84.0746
1116.210947, 48.711, 84.1857
1116.577158, 48.674, 84.2988
1116.943369, 48.636, 84.4141
1117.309580, 48.598, 84.5313
1117.675791, 48.561, 84.6507
1118.042002, 48.523, 84.7720
1118.408213, 48.485, 84.8957
1118.774424, 48.446, 85.0214
1119.140635, 48.408, 85.1496
1119.506846, 48.370, 85.2798
1119.873057, 48.331, 85.4122
1120.239268, 48.292, 85.5467
1120.605479, 48.253, 85.6839
1120.971690, 48.214, 85.8233
1121.337900, 48.175, 85.9648
1121.704111, 48.136, 86.1091
1122.070322, 48.096, 86.2557
1122.436533, 48.057, 86.4050
1122.802744, 48.017, 86.5563
1123.168955, 47.977, 86.7106
1123.535166, 47.937, 86.8676
1123.901377, 47.897, 87.0270
1124.267588, 47.857, 87.1890
1124.633799, 47.816, 87.3535
1125.000010, 47.776, 87.5209
1125.366221, 47.735, 87.6913
1125.732432, 47.694, 87.8641
1126.098643, 47.654, 88.0398
1126.464854, 47.613, 88.2183
1126.831065, 47.572, 88.4001
1127.197276, 47.531, 88.5842
1127.563487, 47.489, 88.7718
1127.929698, 47.448, 88.9622
1128.295909, 47.407, 89.1556
1128.662120, 47.365, 89.3524
1129.028331, 47.323, 89.5521
1129.394542, 47.282, 89.7551
1129.760753, 47.240, 89.9611
1130.126964, 47.198, 90.1702
1130.493175, 47.156, 90.3827
1130.859386, 47.114, 90.5989
1131.225597, 47.072, 90.8183
1131.591808, 47.030, 91.0411
1131.958019, 46.988, 91.2669
1132.324230, 46.946, 91.4965
1132.690440, 46.904, 91.7296
1133.056651, 46.862, 91.9666
1133.422862, 46.819, 92.2068
1133.789073, 46.777, 92.4510
1134.155284, 46.735, 92.6988
1134.521495, 46.693, 92.9502
1134.887706, 46.650, 93.2056
1135.253917, 46.608, 93.4646
1135.620128, 46.566, 93.7273
1135.986339, 46.523, 93.9941
1136.352550, 46.481, 94.2651
1136.718761, 46.439, 94.5399
1137.084972, 46.397, 94.8186
1137.451183, 46.355, 95.1019
1137.817394, 46.313, 95.3886
1138.183605, 46.271, 95.6796
1138.549816, 46.229, 95.9751
1138.916027, 46.187, 96.2747
1139.282238, 46.146, 96.5784
1139.648449, 46.104, 96.8866
1140.014660, 46.063, 97.1991
1140.380871, 46.021, 97.5157
1140.747082, 45.980, 97.8370
1141.113293, 45.938, 98.1627
1141.479504, 45.897, 98.4929
1141.845715, 45.857, 98.8270
1142.211926, 45.816, 99.1661
1142.578137, 45.776, 99.5100
1142.944348, 45.735, 99.8586
1143.310559, 45.695, 100.2114
1143.676769, 45.656, 100.5689
1144.042980, 45.616, 100.9308
1144.409191, 45.577, 101.2984
1144.775402, 45.538, 101.6694
1145.141613, 45.499, 102.0462
1145.507824, 45.461, 102.4270
1145.874035, 45.423, 102.8133
1146.240246, 45.385, 103.2036
1146.606457, 45.348, 103.5989
1146.972668, 45.311, 103.9989
1147.338879, 45.274, 104.4040
1147.705090, 45.238, 104.8137
1148.071301, 45.202, 105.2284
1148.437512, 45.167, 105.6473
1148.803723, 45.132, 106.0714
1149.169934, 45.097, 106.5006
1149.536145, 45.063, 106.9341
1149.902356, 45.030, 107.3720
1150.268567, 44.997, 107.8153
1150.634778, 44.965, 108.2625
1151.000989, 44.933, 108.7150
1151.367200, 44.902, 109.1717
1151.733411, 44.871, 109.6338
1152.099622, 44.841, 110.0998
1152.465833, 44.811, 110.5703
1152.832044, 44.783, 111.0452
1153.198255, 44.755, 111.5252
1153.564466, 44.727, 112.0085
1153.930677, 44.701, 112.4970
1154.296888, 44.675, 112.9892
1154.663099, 44.649, 113.4857
1155.029309, 44.625, 113.9864
1155.395520, 44.601, 114.4913
1155.761731, 44.578, 114.9996
1156.127942, 44.556, 115.5124
1156.494153, 44.535, 116.0287
1156.860364, 44.514, 116.5487
